trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.99, 'e': 0.7105532272722921}",20,0,-153.81396681576334,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
35,False,"{'a': 0.99, 'e': 0.7034476949995692}",20,0,-30.433695867160424,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.99, 'e': 0.6964132180495735}",25,0,-233.0761452066086,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
37,False,"{'a': 0.99, 'e': 0.6894490858690777}",30,13,-23.000125460412946,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
38,False,"{'a': 0.99, 'e': 0.682554595010387}",25,16,-10.170864529638177,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.99, 'e': 0.6757290490602831}",20,0,-89.61779797002932,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
40,False,"{'a': 0.99, 'e': 0.6689717585696803}",20,0,-139.6189223343927,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
41,False,"{'a': 0.99, 'e': 0.6622820409839835}",30,0,-159.87341067572748,"{0: 19, 1: 4, 2: 2, 3: 3, 4: 2}",0
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",30,20,-39.49709710734581,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",20,0,-95.17596773653968,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",25,1,-18.2746132117469,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",30,2,-140.25377242541916,"{0: 18, 1: 4, 2: 2, 3: 2, 4: 2}",1
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",25,0,-22.606416146657498,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.99, 'e': 0.6235253948912}",30,0,-97.93338544869721,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.99, 'e': 0.617290140942288}",20,0,-22.062740091170184,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.99, 'e': 0.611117239532865}",20,0,-35.79962635699312,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.99, 'e': 0.6050060671375364}",30,1,4.7773413427314395,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.99, 'e': 0.598956006466161}",25,0,-103.94909819470926,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",30,0,-124.82980096510553,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",20,9,4.609945683036919,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",20,0,-14.375775962970698,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",25,0,-21.481104229615084,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",20,12,-34.46304309771364,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.99, 'e': 0.5639051904523875}",25,3,-138.86843699102022,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 2}",1
58,False,"{'a': 0.99, 'e': 0.5582661385478637}",20,0,-126.84606020545682,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",25,0,-24.891620341932338,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",20,0,-18.15473121649961,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",20,0,-29.134169879482286,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.99, 'e': 0.536268225207185}",20,0,-55.18933345893321,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",25,0,-146.81541102307807,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
64,False,"{'a': 0.99, 'e': 0.525596487525562}",20,0,-67.48292846063016,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-140.1752670287478,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",20,5,-21.45354622019157,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",20,0,-143.84361084145127,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",30,0,-87.0236588750418,"{0: 23, 1: 4, 2: 0, 3: 1, 4: 2}",0
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",20,0,-70.97712389815447,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
